customer_id,full_name,nif,phone,address,id_verified,total_rentals,avg_return_days,late_returns,churn_risk_score,join_date,still_active
18,Leonor da Cunha,873449668,(351) 919 257 679,"Avenida Valentim Macedo, 22, 8431-551 Horta",1,2,13.5,0,0.387,2022-09-05,1
19,Raquel Martins,679899470,(351) 914602205,"Alameda de Azevedo, 404, 4287-378 Chaves",1,0,,0,0.384,2023-06-05,1
20,Hugo Pinho,170690149,+351921401930,"Av de Leal, 975, 3237-227 Coimbra",1,2,51.0,0,0.381,2022-12-07,1
21,Bianca de Ribeiro,110384715,(351) 969 154 099,"Av do Colégio, 75, 1164-428 Ponta Delgada",1,3,7.7,0,0.083,2022-11-29,1
22,João Miranda,566505188,(351) 273 393 206,"Travessa do Carvão, S/N, 5118-647 Trofa",1,2,5.5,0,0.187,2023-09-10,1
23,Inês de Neto,016744923,915284638,"Alameda das Galeotas ao Parque das Nações, 161, 2914-313 Freamunde",1,1,9.0,0,0.33,2024-01-11,1
24,Kévim Henriques,359698504,914398180,"Travessa Abreu, S/N, 4292-307 Oliveira do Hospital",1,2,17.0,0,0.219,2023-05-16,1
25,Rita Faria,056693754,961374447,"Avenida Almeida, 8, 5673-874 Fátima",0,0,,0,0.085,2023-08-23,1
26,Helena-Alexandra Pereira,428617892,(351) 920 130 307,"Av de Ramos, 73, 1695-774 Praia da Vitória",1,2,90.0,0,0.149,2024-04-12,1
27,Afonso Pinho,714025038,(351) 918747506,"Travessa Vaz, 20, 2253-155 Entroncamento",1,3,12.3,1,0.557,2023-10-07,1
28,Laura Soares-Cruz,762648163,(351) 270 539 199,"Alameda Ariana Anjos, 327, 1657-997 Funchal",1,4,35.8,1,0.428,2024-03-04,1
29,Luís Maia,493680635,(351) 964108500,"Largo de Pereira, S/N, 2183-366 Vila Nova de Santo André",1,0,,0,0.211,2023-07-24,1
30,Kévim Lopes,301012789,918635727,"Alameda de Magalhães, 23, 4378-738 Pinhel",1,1,90.0,0,0.393,2024-03-29,1
31,Jaime da Martins,519304852,(351) 921294479,"Av Morais, 1, 8962-048 Miranda do Douro",1,0,,0,0.195,2024-02-17,1
32,Tomé Oliveira,775867036,(351) 912732182,"Travessa de Serrúbia, 52, 7880-065 Ponta Delgada",1,1,13.0,1,0.739,2023-11-29,1
33,Diogo Antunes,203634443,961 260 006,"Praça Borges, 13, 5569-954 Ílhavo",1,3,25.0,1,0.596,2022-10-29,1
34,Alícia Cunha-Miranda,468963318,(351) 916 375 531,"Largo do Mestre de Aviz, 16, 8950-894 Loures",0,2,12.5,0,0.182,2022-07-31,1
35,Eduardo Correia,233576170,298 472 369,"Av Matos, S/N, 8908-483 Alcobaça",1,2,49.5,0,0.124,2023-03-22,1
36,Nicole-Rita Lourenço,317445776,938842484,"Praça do Dr. Fernando de Azeredo Antas, 922, 6416-405 Silves",1,2,13.5,0,0.357,2023-12-04,1
37,Fábio Martins,626367850,(351) 221 270 108,"R. Bárbara Baptista, 67, 3253-149 Mêda",1,6,22.2,0,0.111,2022-01-26,1
38,Martim Castro,897747594,918 920 534,"Praça Bruna Barbosa, 98, 5689-480 Maia",1,0,,0,0.353,2024-05-08,1
39,Marta Abreu,348529537,912133249,"Alameda Teresa Valente, S/N, 8482-425 Almeirim",1,2,18.5,1,0.699,2024-02-01,1
40,Guilherme Brito,403767687,(351) 299 950 817,"Av Rita Moura, 7, 6273-941 Entroncamento",1,1,13.0,1,0.784,2024-11-05,1
41,Adriana Silva,420767514,(351) 222469755,"Av de Barbosa, 42, 8306-109 Moura",1,7,12.7,1,0.401,2022-04-24,1
42,Íris Maia,534115733,(351) 918616855,"Travessa de Ferreira, 45, 3175-424 Mealhada",0,4,11.2,0,0.355,2023-04-02,1
43,Andreia Teixeira,900094065,925116829,"Avenida Nelson Vaz, S/N, 3473-459 Setúbal",1,1,6.0,0,0.171,2023-03-23,1
44,Isabel Silva,823445385,924 835 336,"Rua de Leal, S/N, 2539-710 Santa Comba Dão",1,1,13.0,0,0.196,2023-11-23,1
45,Sara Baptista,653523266,(351) 232261929,"R. de Domingues, 94, 6614-756 Guarda",1,2,12.0,0,0.304,2024-09-16,1
46,Anita Barros,004709110,(351) 918 969 663,"Av Artur Agostinho, 43, 4864-260 Caldas da Rainha",1,3,11.7,0,0.347,2022-12-24,1
47,Gustavo Ferreira,495611998,(351) 931 943 827,"Av de Gaspar, 51, 7693-648 Valongo",1,2,15.0,0,0.177,2022-12-02,1
48,Nair-Gabriela Vieira,651181583,(351) 936 713 675,"Praça de Domingues, 14, 4489-684 Ponta Delgada",1,1,90.0,0,0.176,2022-06-08,1
49,Cláudio Ramos,746614477,(351) 930203903,"Alameda de Branco, 272, 1093-735 Reguengos de Monsaraz",1,3,36.0,0,0.179,2022-04-20,1
50,José da Pinho,186870479,(351) 920 842 771,"Alameda Tavares, 85, 8822-395 Lixa",1,2,2.5,0,0.331,2023-10-09,1
51,Guilherme Amorim,682905256,+351932852081,"Largo Fonseca, S/N, 2306-648 Funchal",1,1,2.0,0,0.383,2023-12-01,1
52,Clara Tavares,995089142,(351) 922019644,"Praça Guilherme Lima, 34, 2756-330 Cantanhede",1,5,12.2,1,0.242,2022-06-18,1
53,Benjamim Amorim,302927640,934 092 876,"Travessa de Barbosa, S/N, 3039-946 Beja",1,1,26.0,0,0.04,2023-12-11,1
54,Sofia Rocha,739862214,(351) 930386004,"Travessa Visconde de Alvalade, 758, 8267-285 Agualva-Cacém",0,1,18.0,0,0.037,2023-07-26,1
55,Constança-Lara Freitas,131866047,(351) 923288202,"Alameda Samuel Domingues, 9, 8146-400 Loures",1,1,18.0,0,0.323,2024-10-04,1
56,Ricardo Melo,338914785,(351) 917 187 463,"Av de Gonçalves, 84, 4208-627 São João da Madeira",1,2,15.5,0,0.385,2023-11-02,1
57,Irina Fonseca,744203594,(351) 211063925,"Largo Sandro Brito, 6, 6666-752 Valbom",1,1,7.0,0,0.192,2024-04-24,1
58,Núria Alves,023873518,(351) 928140728,"Av das Oliveiras, 77, 7452-016 Ponte de Sor",1,2,11.0,0,0.049,2023-09-01,1
59,Joana Branco,664774131,(351) 233098998,"Rua de D. Afonso Henriques, 3, 7833-834 Castelo Branco",1,3,11.3,0,0.319,2022-07-28,1
60,Ângela Cardoso,518302585,937 836 017,"R. de Soares, 73, 2931-320 Oliveira do Bairro",1,2,16.5,1,0.624,2023-01-26,1
61,Lara Barros,658153988,932 628 267,"Rua de Anjos, 67, 2960-921 Abrantes",1,2,55.5,0,0.134,2023-07-10,1
62,Adriana Marques,217895599,(351) 218 014 452,"R. de Machado, 6, 3122-470 Valongo",0,3,36.3,0,0.21,2022-11-14,1
63,Kyara Reis-Melo,984128655,938 108 097,"Travessa de Mendes, 681, 6542-083 Cantanhede",1,4,16.5,0,0.217,2023-09-01,1
64,Luna Pinheiro,167592383,934517920,"Rua de Gonçalves, 6, 8760-735 Santa Maria da Feira",1,2,7.0,1,0.355,2023-11-16,1
65,Madalena Castro,193489180,(351) 919 604 378,"Av Fábio Ramos, 19, 8330-534 Vendas Novas",1,2,38.5,1,0.384,2023-07-24,1
66,Núria Cardoso,381463429,+351921579513,"Praça de São Lourenço, 7, 3659-841 Porto",1,4,33.0,1,0.442,2022-12-20,1
67,António Fonseca,242195973,924194117,"R. Patrícia Matias, 82, 2590-389 Tavira",1,2,5.0,0,0.324,2022-03-11,1
68,Isaac Magalhães,091218527,(351) 960247901,"Largo Marcos Esteves, 35, 5968-666 Lagoa",1,4,38.5,1,0.185,2022-01-20,1
69,Érica do Amorim,411461331,(351) 968183376,"Travessa de Costa, 93, 6879-171 Odivelas",1,1,16.0,0,0.187,2023-08-30,1
70,Victória Pinho,553015303,222110160,"Praça Edgar Rocha, 54, 1655-716 Santa Cruz",0,1,40.0,1,0.62,2023-07-10,1
71,Iara Machado,440778110,(351) 965196425,"R. José Simões, 59, 9468-045 Vila Nova de Foz Côa",1,0,,0,0.018,2023-08-03,1
72,David Reis,659845576,(351) 923 465 941,"Travessa Assunção, 92, 3080-539 Estarreja",1,2,18.5,1,0.318,2024-05-21,1
73,Micael Paiva,634541829,917 568 818,"Rua Eduardo Prado Coelho, 50, 1865-559 Évora",1,1,4.0,0,0.016,2023-01-31,1
74,Mariana Pires,269945206,(351) 936 075 145,"Rua de Carneiro, 881, 2293-711 Ourém",1,2,19.5,1,0.678,2022-11-07,1
75,Eva Melo,191061669,+351963315523,"R. Ferreira, 4, 8511-739 Lisboa",0,3,37.7,1,0.439,2023-03-03,1
76,Enzo Abreu-Gomes,082242168,(351) 912 692 117,"Travessa Almeida, 68, 6915-755 Alcácer do Sal",1,1,10.0,0,0.369,2024-07-23,1
77,Filipa do Valente,822175626,(351) 931499959,"Av Rafael Teixeira, 11, 7433-007 Tondela",1,1,9.0,0,0.202,2024-09-12,1
78,António Neves,962083479,966 339 957,"Alameda Santos, 28, 9315-450 Estarreja",1,0,,0,0.121,2024-01-19,1
79,Emma Pinto,100593257,(351) 960 253 523,"Av do Mirante, 93, 4706-805 Aveiro",1,4,10.8,0,0.258,2022-11-25,1
80,Nádia Araújo,287032200,919 795 946,"Praça Mara Silva, 31, 5322-704 Rebordosa",1,4,14.2,1,0.424,2022-12-10,1
81,Bianca Andrade,748597243,(351) 937958895,"Alameda de Fonseca, 899, 7983-707 Paredes",1,0,,0,0.318,2024-10-31,1
82,Victória Mendes,129514520,(351) 919 179 265,"Largo Jaime Ribeiro, 4, 6760-410 Mirandela",1,3,27.3,1,0.261,2023-08-10,1
83,Valentina Macedo,802860604,(351) 965253492,"Av do Carvalhido, 72, 8317-206 Gondomar",1,2,38.5,0,0.08,2023-04-08,1
84,Leonardo Lopes,224065474,(351) 919319165,"Travessa Afonso de Albuquerque, 25, 4024-951 Gouveia",1,2,12.5,0,0.052,2024-08-29,1
85,Brian Soares,695090418,(351) 961 296 719,"Rua Futebol Clube do Porto, S/N, 4141-295 Sacavém",1,3,34.7,0,0.077,2023-03-27,1
86,Gabriel Batista,985664301,254 980 433,"Travessa Nunes, 2, 5109-261 Silves",1,2,13.0,0,0.336,2023-02-17,1
87,Joel do Pinheiro,556238878,+351965167036,"Avenida Feia, 75, 9342-666 Torres Vedras",1,5,19.6,0,0.251,2023-06-17,1
88,Ismael Garcia,876569931,(351) 923 943 423,"Travessa de Alves, 912, 2089-402 Mangualde",1,2,14.0,0,0.305,2022-08-17,1
89,Dinis Nascimento,062290113,+351923165683,"R. de Lima, 1, 7161-976 Gondomar",1,1,2.0,0,0.185,2024-01-15,1
90,Inês da Pinto,047947199,(351) 964 984 675,"Av de Garcia, 973, 5910-798 Tomar",0,1,22.0,0,0.245,2022-08-25,1
91,Matilde Nascimento,803514895,(351) 931527941,"R. Violeta Morais, 68, 4465-723 Elvas",1,1,22.0,0,0.193,2023-09-15,1
92,Joaquim Carvalho,829441914,(351) 923820344,"Alameda do Calvário, S/N, 3502-572 Ponta Delgada",1,3,8.3,2,0.511,2022-07-21,1
93,Miriam-Nicole Borges,905347283,(351) 933 564 995,"Travessa Ramos, S/N, 6873-107 Mealhada",1,2,9.5,1,0.519,2022-10-28,1
94,Iara-Emma Gaspar,167309532,(351) 937 720 725,"Praça de Amaral, 9, 6515-827 Ovar",1,2,7.5,0,0.167,2023-09-10,1
95,Leandro Ferreira,670848868,913 640 169,"Avenida Cardoso, 80, 4816-957 Torres Vedras",1,1,5.0,0,0.213,2023-09-06,1
96,Kyara Gaspar,656292582,(351) 921974065,"Rua Noah Correia, 9, 7967-641 Amadora",1,2,73.5,0,0.177,2024-04-22,1
97,Luana-Rafaela Costa,282801832,927747617,"Praça Eva Carneiro, 848, 7839-675 Pinhel",1,1,6.0,0,0.195,2024-06-13,1
98,Ângela Leal,306885684,(351) 926934893,"Av de Rodrigues, 54, 4031-679 Loures",1,1,7.0,0,0.245,2023-01-17,1
99,Sebastião Antunes,676780964,916 581 779,"Travessa Teixeira, 74, 7505-684 Viana do Castelo",1,3,1.7,0,0.024,2022-07-11,1
100,Brian da Alves,837449597,913654629,"Rua da Banda de Ramalde, 88, 6083-090 Porto",1,1,6.0,0,0.178,2024-06-09,1
101,Beatriz Maia,135317555,(351) 960804298,"Rua dos Aventureiros, 875, 9648-304 Odivelas",1,0,,0,0.036,2023-01-04,1
102,Vítor Azevedo,289748741,918 630 028,"Avenida de D. Afonso Henriques, 9, 5338-540 Évora",1,2,26.5,0,0.053,2022-01-16,1
103,Benjamim Cardoso,148626751,(351) 964657790,"Alameda da França, S/N, 7594-324 Santa Cruz",1,5,14.0,1,0.246,2022-07-22,1
104,José Teixeira,199764534,(351) 925 524 117,"Alameda Rodrigues, 8, 1859-651 Viseu",1,1,12.0,0,0.372,2024-10-21,1
105,Manuel Morais,551564196,(351) 967507679,"Av Leite, 5, 6775-720 Fiães",1,4,13.8,2,0.576,2022-11-04,1
106,Micael Andrade,963009358,(351) 915079116,"Avenida República Argentina, 8, 1335-170 Pombal",1,3,10.3,0,0.3,2022-07-21,1
107,Débora-Catarina Matias,016301597,294866846,"Av Laura Lourenço, S/N, 8889-247 Vila Nova de Santo André",1,2,13.5,0,0.355,2024-03-02,1
108,Diogo Barros,224228483,+351916766573,"Praça Pinheiro, S/N, 8863-947 Alcácer do Sal",1,4,16.5,0,0.09,2023-02-04,1
109,Lara Moreira,927668098,+351968292012,"Alameda Bruna Castro, S/N, 2368-637 Olhão",1,1,90.0,0,0.221,2024-01-24,1
110,Mafalda Henriques,601804033,(351) 293 278 903,"Av do Dr. Manuel Laranjeira, 58, 5869-269 Cartaxo",1,1,1.0,0,0.367,2022-06-03,1
111,Emanuel do Tavares,801537358,(351) 934874370,"Alameda Ângelo Oliveira, 31, 9201-256 Felgueiras",1,1,9.0,0,0.279,2023-12-14,1
112,Ivo Assunção,715544605,931 898 448,"Avenida Lopes, 49, 4242-379 Marinha Grande",1,1,10.0,0,0.136,2023-07-19,1
113,Alexandre Lima,260967462,(351) 929798739,"Travessa Andrade, S/N, 2952-508 Santana",1,1,90.0,0,0.276,2022-05-16,1
114,Filipa Gomes,053649911,934670765,"Avenida Tatiana Neves, 62, 4190-452 Tomar",1,1,12.0,0,0.21,2024-07-07,1
115,Martim Azevedo,285672850,(351) 928754231,"Rua da Quinta do Guarda-Mor, 74, 2258-933 Ovar",1,3,15.7,1,0.255,2022-11-15,1
116,David Baptista,155383077,(351) 932 642 030,"Rua das Andrezas, 14, 2734-887 Ovar",1,5,30.8,1,0.46,2022-03-14,1
117,Sofia Correia,582126264,(351) 925560135,"Praça Vera Ribeiro, 56, 7152-293 Lagos",1,1,14.0,0,0.173,2024-05-17,1
118,Luciana Correia,956784460,(351) 912144131,"Av Soares, 9, 5159-902 Almada",1,1,9.0,0,0.186,2024-04-08,1
119,Filipe Araújo,907519919,(351) 227 793 590,"Rua Matilde Pinho, 59, 1930-509 Tomar",1,1,12.0,0,0.122,2022-09-09,1
120,Raquel-Kelly Coelho,775512944,924056252,"R. Matilde Bensaúde, 421, 9405-296 Caniço",0,4,5.2,1,0.527,2023-04-11,1
121,Rafael Garcia,492531649,(351) 919 583 299,"R. Naiara Pereira, 331, 2274-402 Moura",1,3,14.7,0,0.296,2023-06-15,1
122,Erica Fernandes,838597477,(351) 920426924,"Av de Valente, S/N, 1942-207 Lagos",1,0,,0,0.134,2023-05-30,1
123,Fernando Correia,659070554,(351) 967 775 280,"Alameda de Baixo, 46, 1714-948 Maia",1,0,,0,0.115,2023-09-24,1
124,Álvaro Matos,434368771,(351) 965884468,"Av Faria, 79, 5916-958 Caniço",1,3,31.3,0,0.262,2022-02-17,1
125,Luciana Carvalho,692209490,925 093 025,"Praça Gaspar Guerreiro, 32, 6869-138 Montemor-o-Novo",1,2,51.5,0,0.149,2024-04-07,1
126,Joaquim do Cruz,341535977,(351) 961 694 324,"R. das Necessidades, 14, 5010-054 Paredes",1,5,44.2,1,0.457,2022-09-07,1
127,Carlota Mendes-Soares,001154773,(351) 216 195 867,"Avenida do Barcal, 15, 5637-481 Bragança",1,1,6.0,1,0.701,2023-03-13,1
128,Melissa Mendes,943148722,(351) 268998867,"Praça Tatiana Morais, 90, 6988-160 Odivelas",1,2,45.5,0,0.117,2022-08-03,1
129,Paulo da Cunha,578564135,+351961138962,"Alameda de Gustavo Eiffel, 12, 1466-540 Silves",1,5,26.6,1,0.517,2022-12-13,1
130,Ismael Castro,741685573,(351) 918 399 779,"Rua de Fonseca, 42, 6417-003 Tondela",1,1,12.0,0,0.4,2023-07-14,1
131,Kevin Sousa,523285558,(351) 967952304,"Largo de Torres, 67, 7989-876 Praia da Vitória",0,0,,0,0.339,2022-06-22,1
132,Emma Jesus,957947581,(351) 916 553 681,"Alameda Afonso Figueiredo, 81, 8108-954 Fafe",1,3,7.3,0,0.31,2022-11-23,1
133,André Magalhães,602841362,927 756 800,"Av Matos, 48, 7634-794 Mangualde",1,4,21.8,1,0.337,2023-05-16,1
134,Gil Jesus,470407146,936 046 154,"R. de Pinto, 42, 4317-167 Santiago do Cacém",1,2,18.0,0,0.106,2023-10-23,1
135,Rui Reis,714797341,(351) 920 649 860,"Alameda Mateus Antunes, 251, 4388-685 Lagos",1,2,18.5,0,0.191,2022-08-12,1
136,Yara Freitas-Faria,595083745,223721396,"R. Assunção, 79, 2676-881 Loures",1,1,1.0,0,0.232,2024-05-21,1
137,Valentina Ribeiro,601703961,+351932663818,"Largo de Torres, S/N, 9377-274 Montijo",0,2,12.0,1,0.575,2024-05-08,1
138,Madalena Neto,759001706,965 026 446,"Largo de Maia, 44, 8849-164 Espinho",1,0,,0,0.308,2023-04-12,1
139,Débora-Fabiana Simões,490786928,(351) 916 113 669,"Avenida Henrique Coelho, 1, 2897-979 Alcobaça",1,2,45.5,0,0.022,2023-01-02,1
140,Larissa da Nunes,162159389,(351) 937 122 560,"R. do Brasil (Porto), 758, 9596-731 Porto",1,2,12.0,0,0.377,2024-02-14,1
141,César Carvalho,635367355,(351) 928 667 155,"Av do Mercado, S/N, 2195-750 Ponte de Sor",1,2,19.0,0,0.376,2023-04-16,1
142,Matias Assunção,960707228,(351) 914 271 649,"Rua Loureiro, S/N, 9255-198 Elvas",1,5,15.0,1,0.362,2022-07-15,1
143,Diego Rodrigues,413351390,935124161,"Av Henriques, 42, 7662-900 Vila Real de Santo António",0,3,9.3,1,0.498,2023-05-27,1
144,Alexandra Vicente,309742749,(351) 207 014 316,"R. de Moura, 693, 9714-049 Lagoa",1,3,15.7,1,0.209,2023-01-20,1
145,Erica-Vera Alves,635796714,(351) 214 991 502,"Av do Prof. Ruy Luís Gomes, 93, 5435-888 Braga",1,4,13.5,0,0.107,2023-01-08,1
146,Bianca Pinto,030073565,(351) 965366262,"Alameda Tavares, 44, 4044-305 Santo Tirso",1,4,19.0,1,0.244,2022-08-24,1
147,Melissa-Carolina Abreu,260825263,(351) 209367104,"Av Nunes, S/N, 1410-866 Odivelas",1,3,38.7,0,0.086,2022-05-07,1
148,Pedro Lourenço,794128866,217 260 577,"R. do Castelo do Queijo, 93, 9954-563 Vila Nova de Famalicão",1,1,20.0,0,0.137,2024-03-12,1
149,Luciana-Luísa Matos,112232142,+351938998141,"Rua de Carvalho, 8, 4745-221 Peso da Régua",1,3,13.0,0,0.115,2022-06-06,1
150,William Freitas,261197892,+351920169663,"Avenida Cláudio Melo, S/N, 5850-217 Porto",1,3,5.7,0,0.018,2023-06-03,1
151,Martim Nunes,946574465,964656131,"Avenida de Anjos, 65, 3588-164 Montijo",1,3,18.0,0,0.249,2022-05-27,1
152,Jéssica Esteves,255441181,(351) 912588407,"Rua Carvalho, 96, 4594-097 Horta",1,2,11.0,0,0.137,2022-08-17,1
153,Iara Moreira,851367380,(351) 934 640 242,"Praça Noa Torres, 5, 2218-208 Ponta Delgada",1,2,21.5,1,0.392,2024-06-21,1
154,Isabel Vaz,203881937,(351) 238 763 914,"Avenida Fernando Valle, 3, 3984-155 Viseu",1,1,7.0,0,0.285,2022-11-20,1
155,Francisco Gomes,684184714,(351) 939912689,"R. de Rocha, 12, 1965-803 Santarém",1,0,,0,0.08,2023-01-15,1
156,Maria Moreira,220148333,924 358 612,"Largo João Pinto, 31, 9783-624 Pombal",1,4,23.5,1,0.225,2024-01-17,1
157,Sara Ribeiro,011272836,912 529 093,"Av Carolina Lourenço, S/N, 7791-003 Alcácer do Sal",0,2,26.5,1,0.605,2024-02-05,1
158,Pedro Branco,087647709,910 674 053,"R. Dinis Machado, 68, 2946-201 Peniche",0,0,,0,0.012,2024-11-07,1
159,Micael Fonseca,676183762,+351253291918,"Av de Torres, 486, 3439-488 Pombal",1,2,55.5,0,0.212,2024-05-23,1
160,Sara Moura-Baptista,507671621,965512566,"Avenida Irmã Lúcia, S/N, 8185-440 Vila Real de Santo António",1,1,7.0,0,0.244,2024-05-20,1
161,Diana Loureiro-Ramos,048886804,961757405,"Praça Ismael Santos, S/N, 5533-196 Angra do Heroísmo",1,3,8.3,0,0.166,2023-05-28,1
162,Alice Cardoso,693032645,(351) 963 193 567,"Avenida Tatiana Macedo, 5, 1066-257 Santa Comba Dão",1,2,9.0,0,0.241,2024-01-17,1
163,Carlota Melo,496741991,918 121 495,"Avenida da Senhora da Luz, 32, 5470-643 Figueira da Foz",1,3,40.3,1,0.35,2023-11-07,1
164,Rafael Esteves,539064909,935105771,"Av Paris (Nascente), 546, 8308-016 Póvoa de Santa Iria",1,3,10.3,1,0.402,2022-08-22,1
165,João Morais-Moura,703425197,(351) 250 737 372,"Avenida Mário Monteiro, 64, 7667-039 Trofa",1,3,14.3,1,0.512,2024-03-31,1
166,Melissa Neto,181589136,+351939821066,"Largo Lia Pinho, S/N, 8570-426 Quarteira",1,1,14.0,0,0.287,2023-07-14,1
167,Martim Barbosa,296707421,(351) 966 177 837,"Av Nascimento, 92, 3372-223 Valbom",1,4,6.8,0,0.34,2024-01-09,1
168,Madalena Morais-Sousa,319362526,+351216289978,"Av de Fonseca, 55, 8538-485 Covilhã",1,3,14.7,1,0.521,2023-02-16,1
169,Rúben Pacheco,221690887,(351) 939580799,"Rua Violeta Reis, 2, 2136-105 Entroncamento",1,3,5.3,0,0.226,2023-03-01,1
170,Alícia Cunha,480293358,931057898,"Avenida Gabriela Rocha, 679, 4105-375 Santiago do Cacém",1,3,39.0,1,0.466,2023-09-28,1
171,Miriam Oliveira,843910657,210 364 784,"Av de Pacheco, 3, 9003-631 São Mamede de Infesta",1,1,9.0,0,0.027,2024-02-06,1
172,Soraia Anjos,517454693,(351) 935 747 153,"Alameda Yara Neto, 2, 3497-591 Almada",1,3,18.0,1,0.398,2022-06-01,1
173,Ivo Baptista,510214012,924424887,"Largo José Leite, 38, 2556-468 Cartaxo",1,0,,0,0.055,2022-05-18,1
174,Flor-Jéssica Leal,331955897,(351) 264441907,"Praça da Universidade, 153, 3817-461 Ponta Delgada",1,1,47.0,0,0.387,2023-12-20,1
175,Cláudio Nunes,035971771,(351) 965733339,"Praça de Castro, S/N, 3285-705 Portalegre",1,5,26.0,1,0.461,2022-10-29,1
176,Pedro Castro,030568709,(351) 966 682 244,"Alameda Padre Álvaro Proença, S/N, 8021-072 Fundão",1,3,21.3,2,0.713,2022-08-21,1
177,Andreia-Carminho Gaspar,246051648,(351) 925822793,"Travessa da Rainha, 83, 5877-476 Matosinhos",1,0,,0,0.083,2022-06-30,1
178,Flor de Leal,895337684,(351) 965 206 961,"Largo Macedo, 1, 6584-653 Almeirim",1,5,12.2,3,0.689,2022-09-06,1
179,Gustavo Nunes,876776006,(351) 933110420,"Av Pinheiro, 28, 5718-963 Chaves",1,1,16.0,1,0.869,2023-09-14,1
180,Catarina Garcia,459731730,262820503,"Rua Lourenço, 600, 7791-951 Faro",1,1,26.0,0,0.342,2024-11-13,1
181,António de Guerreiro,249675745,(351) 967 756 541,"R. de Domingues, 3, 4611-022 Elvas",1,5,25.4,1,0.232,2023-01-08,1
182,José Rodrigues,048480947,924 560 886,"Alameda Letícia Leite, 4, 6050-402 Alcácer do Sal",1,2,16.0,0,0.002,2023-04-12,1
183,Kyara-Rafaela Lopes,318156054,(351) 961778993,"Av de Costa, 72, 7211-539 Sines",1,1,1.0,0,0.127,2024-11-06,1
184,Irina Jesus,079959476,+351255373011,"Travessa Artur Agostinho, 78, 1505-148 Ribeira Grande",1,6,7.3,1,0.314,2022-09-16,1
185,Emanuel Gomes-Martins,110797647,922 758 751,"Av de Faria, 6, 1451-789 Alcobaça",1,1,1.0,0,0.145,2023-01-19,1
186,Miriam Assunção,565728972,(351) 923 203 315,"Alameda de Machado, 86, 2078-528 Reguengos de Monsaraz",1,0,,0,0.033,2023-05-11,1
187,Patrícia-Madalena Lourenço,934854039,+351964404853,"Av Pinto, 525, 7848-114 Coimbra",0,3,36.3,0,0.345,2024-03-17,1
188,Francisca Garcia-Freitas,846856066,932 655 224,"Avenida Luca Teixeira, 37, 1859-980 Chaves",1,1,25.0,1,0.743,2023-07-31,1
189,Joana Amorim,926138268,280 066 604,"Largo de Guerreiro, S/N, 5961-281 Fiães",1,3,9.0,1,0.487,2023-09-25,1
190,Petra Lopes-Simões,977779570,201326698,"Praça Lima, 415, 2822-054 Porto Santo",1,1,90.0,0,0.301,2023-10-23,1
